交易月份,MKT,SMB,HML,RMW,CMA
19960701,11.3616,-5.101381,-6.389882,-2.023741,0.4123621
19960801,-3.5568,-6.197198,-0.4386722,-2.211958,-2.261393
19960901,2.8261,-4.910952,-5.473214,3.115242,-7.898557
19961001,19.0315,-0.8264428,15.78792,-12.00311,17.59669
19961101,6.4025,3.504959,-0.066759,-7.253088,5.606735
19961201,-21.0825,-1.707763,-8.229673,12.69134,-7.13925
19970101,5.4862,0.7298265,-4.517595,-1.002441,-1.590955
19970201,2.4704,3.457882,1.777537,-7.508334,3.109692
19970301,17.2234,3.473389,-13.83878,11.82943,-10.50298
19970401,8.9752,-6.982794,-8.996205,1.140765,-13.72962
19970501,-12.022,-5.31644,-6.518049,2.387269,-3.794341
19970601,-1.9365,-2.218207,-9.797782,5.622032,-10.46442
19970701,-10.3368,3.189044,1.007848,-1.377242,1.343892
19970801,-4.3683,2.275259,6.451141,-11.89331,1.032373
19970901,-14.5351,0.4341504,-1.413382,0.8021488,-1.13158
19971001,10.9814,-3.730636,-1.099748,3.315952,-0.1387924
19971101,-7.691,2.530257,-2.235806,3.371646,-2.295038
19971201,2.2244,0.8417189,-7.75752,6.786203,-4.425746
19980101,-0.4286999,1.792146,-6.341425,3.732207,0.4150448
19980201,-5.1715,2.709035,1.832142,-4.582365,1.932382
19980301,-0.7068999,1.214136,0.760197,-1.37702,-0.8024358
19980401,6.076,6.441371,-1.227271,-2.958821,2.415723
19980501,2.5668,8.548884,-1.446515,-6.340339,5.160899
19980601,-9.0562,1.245485,3.558545,-2.62059,2.684488
19980701,-4.0884,2.156483,1.350127,-1.941367,-0.5019314
19980801,-14.9313,1.950297,-5.7099,-2.363262,0.8517551
19980901,4.5982,5.923832,1.417134,-4.31662,3.983476
19981001,-3.7953,3.105925,-3.457499,5.538035,-4.435057
19981101,-0.4573999,-1.246269,0.4280327,3.423673,-2.38417
19981201,-11.1039,-1.69445,1.164167,-0.1462765,0.3094311
19990101,-3.3831,-0.1605019,-0.9302139,-2.852353,-0.2111958
19990201,-7.1127,-0.0135696,0.2004409,0.6846011,1.270543
19990301,3.6816,4.960504,1.851088,-6.761148,5.329692
19990401,-6.3809,-0.5073322,3.513376,-4.144241,0.1131983
19990501,8.7914,-3.400091,3.051539,-0.8360503,-3.216198
19990601,34.1623,-8.474737,-16.20031,4.340655,2.034238
19990701,-8.4051,2.031024,4.082112,2.893568,0.9118679
19990801,-1.2671,5.030685,2.142807,-5.160264,3.162781
19990901,-4.4307,-1.041764,-2.599137,0.578059,-1.34137
19991001,-6.7801,1.487181,2.248536,-0.1857595,1.251595
19991101,-6.3564,3.210238,2.26056,0.2105918,-2.054915
19991201,-6.8462,-2.595817,-2.410813,2.663332,-2.470487
20000101,14.1038,-3.594506,-5.223838,0.0675426,0.3410277
20000201,10.2224,2.655134,-3.471773,-3.815308,0.2378168
20000301,3.6126,2.155846,-0.7855791,-4.933532,0.85392
20000401,-0.6786,1.122529,1.683128,-0.1223485,0.0625606
20000501,0.7890999,2.306278,1.947926,-0.8537987,-1.528242
20000601,0.3921,-1.018677,4.159105,2.826789,-0.2303613
20000701,2.3445,-1.219726,4.064415,-3.085626,2.975622
20000801,-2.4491,3.852378,-1.52068,-1.324621,0.7537984
20000901,-6.5022,0.3243183,-2.928767,-1.292197,-0.0599952
20001001,0.4422,2.944809,2.009625,-0.6685432,-0.7221626
20001101,3.4374,1.66698,4.633624,0.4598231,1.724952
20001201,-2.1905,2.207803,-1.337203,0.1549423,-0.6797199
20250101,-3.0199,0.6621503,1.571598,-0.3533921,1.223097
20250201,-7.9206,-0.5556913,4.668804,0.7252169,-0.3043447
20250301,5.6113,0.335302,-1.092385,-0.9121172,0.0638494
20250401,-2.5254,0.2468173,-3.629041,-0.5069211,1.809618
20250501,1.5345,4.623744,1.018212,-1.95226,0.5477312
20250601,-1.699,1.777474,0.9619592,1.116553,0.4814354
20250701,-15.2302,0.069583,0.0020447,0.572319,0.9992609
20250801,-5.5022,0.6351356,-1.14264,-0.501256,1.92778
20250901,-7.1801,-3.079327,1.856748,2.468166,0.0055163
20251001,-6.8324,-3.212574,2.744655,-3.947795,3.788869
20251101,1.8875,2.588014,0.7189139,0.4650564,-1.318408
20251201,-8.2543,-1.651921,0.2320724,4.734665,-2.344955
20250102,-12.7525,-2.807165,0.4792314,0.5970845,-0.6031575
20250202,0.9367,1.3298,0.8166977,-2.646435,0.9100183
20250302,4.8992,2.277878,-1.317675,-0.2803411,0.5958195
20250402,2.2224,2.495498,2.063084,-3.469488,0.7507394
20250502,-10.2232,-0.1394505,-0.2409139,-1.938188,1.323735
20250602,11.5884,-4.584904,5.117165,-0.6056395,3.263934
20250702,-5.7272,0.9162536,-2.613582,-0.0401895,-1.594821
20250802,-1.0879,0.94554,0.7634903,1.355335,-0.0782361
20250902,-7.2732,-0.4175732,-0.42981,0.8309515,-0.7799878
20251002,-6.8283,-1.036153,-0.6785097,0.0863225,-0.7954388
20251102,-7.9793,-3.777975,-0.2954407,3.466685,-0.6677408
20251202,-6.8592,-0.1566123,-2.072889,2.46929,-1.748639
20250103,7.8392,0.3244024,1.099175,-3.185386,1.836628
20250203,-0.7390001,1.050283,0.3230249,0.1698282,-0.2746938
20250303,-3.0232,-1.223442,2.045997,2.128024,-1.501588
20250403,-2.9154,-3.761147,2.876489,3.260347,-2.289357
20250503,2.6805,-1.183495,1.917802,-1.182857,-0.4182788
20250603,-8.4005,-1.025308,-0.1714621,2.464704,0.1295524
20250703,-2.9412,-3.164167,0.2168669,3.490914,0.0285717
20250803,-4.8189,0.3082596,0.0473337,-0.6095648,-0.03334
20250903,-6.0489,-0.737363,0.8268018,1.007838,-1.390822
20251003,-5.498,-4.131965,3.726387,6.209945,-2.26157
20251103,0.3635999,0.0767249,3.199477,0.9421349,1.968462
20251203,1.0038,-4.954973,5.56563,5.786888,-1.846475
20250104,5.7628,2.917497,-2.223269,-1.313336,0.3261011
20250204,5.4373,2.663456,1.179035,-3.587297,0.3825343
20250304,1.5234,0.4845862,1.615753,0.7474439,-0.8991154
20250404,-11.6409,2.650416,2.847463,3.348558,0.4542232
20250504,-4.0037,0.9303778,1.691087,0.1350844,-1.129147
20250604,-13.0336,-0.9042402,4.336683,2.755951,1.059122
20250704,-2.057,-1.010267,-1.37716,1.235617,0.6334082
20250804,-6.1536,-1.813621,3.55969,2.459597,0.0080173
20250904,3.6274,-0.3100859,-2.628419,1.548861,-3.820061
20251004,-7.1855,-0.9241236,-3.066587,4.798576,-2.46109
20251104,0.5647,2.495609,-1.064092,-3.881014,1.10558
20251204,-8.5644,-1.108348,0.8619127,4.05309,-0.0826035
20250105,-7.5972,-2.394565,0.4727609,0.1815207,0.7454605
20250205,7.8684,1.826575,-0.1608973,-0.8611612,-1.163642
20250305,-12.3151,-1.317184,1.545391,5.238758,-2.31692
20250405,-4.7969,-2.351673,3.087811,5.396241,-1.688293
20250505,-8.6391,0.5645043,0.0032709,-7.108767,2.222226
20250605,-0.3884001,-1.404955,2.972279,3.343781,0.5951593
20250705,-3.4631,-5.605592,-1.245413,8.601728,-3.222863
20250805,7.1314,7.62436,0.8741199,-4.862046,1.815716
20250905,-1.2389,3.610577,-3.154212,2.520054,-2.648641
20251005,-6.8097,0.3731546,-2.410286,1.640377,-1.138027
20251105,-1.8661,1.248349,2.855934,-3.849698,1.862054
20251205,3.355,-1.139744,0.1997852,3.348741,-2.934677
20250106,7.8652,2.863956,-1.090117,0.2883334,-2.197025
20250206,1.7305,-2.006002,2.099003,-2.708792,0.7123844
20250306,-0.0211,1.73676,-5.353842,4.101268,-3.164966
20250406,9.7896,0.4566638,-4.893752,1.619554,-2.934448
20250506,18.7496,7.153248,1.022221,-13.55496,3.407501
20250606,2.7023,4.148643,-0.4414343,0.9713198,-0.349355
20250706,-7.2201,2.966163,0.8004835,-2.239714,0.8570809
20250806,1.9745,1.330462,-0.7045681,-1.974163,0.5180276
20250906,3.1844,1.103894,-0.9165624,-2.083806,2.346419
20251006,0.1122002,-4.038844,4.020345,4.850688,-3.016333
20251106,10.4421,-9.432649,2.156077,5.054621,-5.196779
20251206,12.6407,-8.054548,0.6200694,2.813485,-1.244105
20250107,17.6285,4.508855,-2.694056,-3.195059,4.459749
20250207,8.8152,6.441886,5.267373,-9.305365,4.753273
20250307,10.6909,5.69187,2.414574,-8.370617,2.090616
20250407,27.8538,0.7123412,3.544843,-16.87538,6.925729
20250507,8.2196,-0.8365348,-1.032142,1.729709,1.737832
20250607,-10.5026,-9.722398,-4.834793,13.31047,-6.35215
20250707,17.4711,5.321889,2.888403,-6.599724,1.394944
20250807,13.6015,-2.583244,5.156266,3.026874,0.0921965
20250907,2.2694,1.475734,8.015844,4.405005,-3.00676
20251007,-4.564,-7.105655,1.211619,9.160106,-5.700747
20251107,-17.3669,6.444113,1.94679,-5.180505,3.919572
20251207,11.9098,1.203627,-0.4390435,0.2766266,-0.6762013
20250108,-14.4822,4.284019,-2.430123,2.139744,-0.7904692
20250208,0.1883,5.42204,3.851464,-2.193656,2.484612
20250308,-22.586,0.7972035,-1.67827,1.036349,-0.1459808
20250408,-0.5045,-3.914719,3.511405,5.137322,-0.617412
20250508,-10.979,3.888384,2.415732,-1.038278,-0.6533664
20250608,-26.1725,-2.133787,-2.70733,3.297811,-0.3934011
20250708,-0.1755003,5.54928,1.816895,-1.223351,1.553631
20250808,-20.8273,-0.3976902,5.295331,1.914082,-1.469623
20250908,-9.9841,-6.165803,6.176141,2.409376,0.4864188
20251008,-29.6938,1.4809,1.402547,-0.8255348,6.018166
20251108,10.4524,5.086304,2.822481,-4.319797,-3.355752
20251208,-0.5059999,4.404839,-11.39098,-1.176401,2.305621
20250109,11.7096,2.722125,-2.393659,0.1219215,-8.371264
20250209,4.1418,4.354552,1.034129,-3.206913,2.122131
20250309,16.9609,4.009511,-1.60672,-2.400064,-3.775778
20250409,3.358,0.6880245,2.243247,1.325894,0.1933671
20250509,3.7401,3.322987,-1.227815,-0.4620583,-0.6188724
20250609,9.9615,-2.363883,1.312985,3.146183,0.022056
20250709,15.4773,-4.73408,8.745317,-5.566554,-0.7315025
